Country,Dis_No
India,208
Indonesia,172
Pakistan,84
Thailand,58
Mexico,56
Sri Lanka,53
Kenya,45
Haiti,43
Peru,43
Algeria,40
Romania,38
Turkey,38
Nepal,36
Nigeria,35
Yemen,33
Ethiopia,32
Italy,32
South Africa,31
France,31
Japan,30
Malaysia,28
Spain,25
Uganda,24
Morocco,24
Honduras,24
Somalia,23
Mozambique,23
Saudi Arabia,21
Panama,21
Ghana,20
Tajikistan,18
Rwanda,18
Malawi,18
Guatemala,17
Cambodia,16
Ecuador,16
Greece,14
Canada,14
El Salvador,14
Mali,13
Nicaragua,12
Tunisia,11
Germany,11
Egypt,11
Slovakia,11
Chad,11
Iraq,10
Ukraine,10
Mauritania,9
Senegal,9
Zambia,8
Madagascar,8
Fiji,8
Portugal,8
Poland,8
Papua New Guinea,8
Georgia,7
Mongolia,7
Jamaica,7
Namibia,7
Hong Kong,6
Guinea,6
New Zealand,6
Djibouti,6
Sierra Leone,6
Zimbabwe,6
Kazakhstan,5
Jordan,5
Puerto Rico,5
Uruguay,5
Serbia,4
Hungary,4
Paraguay,4
Israel,4
Oman,4
Timor-Leste,3
Togo,3
Liberia,3
Solomon Islands,3
Saint Vincent and the Grenadines,2
Croatia,2
Ireland,2
Libya,2
Suriname,2
Lesotho,2
Kuwait,2
Kyrgyzstan,2
Saint Lucia,1
Uzbekistan,1
Guyana,1
Guinea-Bissau,1
Norway,1
Trinidad and Tobago,1
Mauritius,1
Seychelles,1
Sweden,1
Swaziland,1
Lithuania,1
Slovenia,1
