country,Total_deaths,Total_Damages,animal_acc,drought,earthquake,epidemic,ex_temp,flood,glacial,impact,insect,lanslide,mass_move,storm,volcano,wildfire,total_dis,lat,lon
Canada,328.0,24578600.0,0.0,0.0,0.0,1.0,4.0,38.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,15.0,97.0,56.130366,-106.346771
Dominica,140.0,2220460.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,13.0,15.414999,-61.370976
Ecuador,7320.0,5245275.0,0.0,0.0,16.0,3.0,0.0,22.0,0.0,0.0,0.0,12.0,1.0,0.0,10.0,3.0,57.0,-1.831239,-78.183406
Ethiopia,3391.0,18336.0,0.0,0.0,0.0,9.0,0.0,42.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,58.0,9.145,40.489673
France,28457.0,43653200.0,0.0,0.0,2.0,1.0,17.0,48.0,0.0,0.0,0.0,9.0,0.0,65.0,0.0,9.0,151.0,46.227638,2.213749
Guadeloupe,14.0,525000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,10.0,16.995971,-62.067641
Hong Kong,929.0,1307943.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,4.0,0.0,48.0,0.0,3.0,74.0,22.396428,114.109497
Hungary,326.0,976400.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,23.0,47.162494,19.503304
India,154339.0,103416475.0,0.0,0.0,22.0,28.0,26.0,218.0,2.0,0.0,0.0,43.0,2.0,165.0,0.0,2.0,508.0,20.593684,78.96288
Honduras,26429.0,10132879.0,0.0,0.0,3.0,2.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,56.0,15.199999,-86.241905
Fiji,411.0,1299753.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,50.0,-16.578193,179.414413
Haiti,241607.0,11080865.0,0.0,0.0,3.0,4.0,0.0,53.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,99.0,18.971187,-72.285215
Spain,16276.0,20842189.0,0.0,0.0,2.0,2.0,7.0,30.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,14.0,81.0,40.463667,-3.74922
Algeria,6965.0,11773846.0,0.0,0.0,15.0,1.0,3.0,42.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,65.0,28.033886,1.659626
Egypt,1734.0,1543000.0,0.0,0.0,3.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,28.0,26.820553,30.802498
Denmark,26.0,4444939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,56.26392,9.501785
Guatemala,27455.0,4591050.0,0.0,0.0,14.0,2.0,0.0,30.0,0.0,0.0,0.0,11.0,2.0,19.0,12.0,0.0,78.0,15.783471,-90.230759
Indonesia,198289.0,23445800.0,0.0,0.0,113.0,11.0,0.0,212.0,0.0,0.0,0.0,60.0,1.0,8.0,46.0,2.0,407.0,-0.789275,113.921327
Comoros,89.0,47804.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,13.0,-11.875001,43.872219
Ghana,602.0,24500.0,0.0,0.0,0.0,6.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,7.946527,-1.023194
Greece,1702.0,11598059.0,0.0,0.0,26.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,76.0,39.074208,21.824312
Peru,82920.0,4810350.0,0.0,0.0,38.0,4.0,4.0,55.0,0.0,0.0,0.0,27.0,1.0,1.0,4.0,1.0,131.0,-9.189967,-75.015152
Papua New Guinea,3814.0,256103.0,0.0,0.0,17.0,7.0,0.0,15.0,0.0,0.0,0.0,14.0,2.0,6.0,12.0,1.0,62.0,-6.314993,143.95555
Iran,110336.0,26474496.0,0.0,0.0,97.0,1.0,0.0,75.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,0.0,191.0,32.427908,53.688046
Israel,112.0,2007750.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,16.0,31.046051,34.851612
Italy,27583.0,90417662.0,0.0,1.0,33.0,1.0,7.0,42.0,0.0,0.0,0.0,10.0,0.0,25.0,4.0,4.0,123.0,41.87194,12.56738
South Korea,4673.0,18402664.0,0.0,0.0,2.0,2.0,2.0,31.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,4.0,97.0,35.907757,127.766922
Morocco,1973.0,1025250.0,0.0,0.0,1.0,0.0,4.0,27.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,38.0,31.791702,-7.09262
Madagascar,3837.0,2338701.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,57.0,0.0,0.0,71.0,-18.766947,46.869107
Mexico,17204.0,52817415.0,0.0,0.0,32.0,1.0,7.0,65.0,0.0,0.0,0.0,10.0,0.0,109.0,7.0,2.0,226.0,23.634501,-102.552784
Martinique,58.0,603010.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,14.641528,-61.024174
Malaysia,892.0,2329302.0,0.0,0.0,2.0,4.0,0.0,57.0,0.0,0.0,0.0,4.0,1.0,7.0,0.0,4.0,79.0,4.210484,101.975766
Niger,6206.0,268839.0,1.0,0.0,0.0,23.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,17.607789,8.081666
Nepal,19376.0,6603323.0,0.0,0.0,6.0,6.0,3.0,38.0,0.0,0.0,0.0,21.0,0.0,6.0,0.0,1.0,81.0,28.394857,84.124008
Panama,469.0,122600.0,0.0,0.0,4.0,3.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,46.0,8.537981,-80.782127
Philippines,58771.0,27908570.0,0.0,0.0,32.0,13.0,0.0,136.0,0.0,0.0,1.0,26.0,3.0,332.0,20.0,1.0,544.0,12.879721,121.774017
